sample,zn_o_water_distance_A,total_energy_hartree,homo_hartree,lumo_hartree,gap_hartree,converged,xyz_file
0,3.99701808930518,-1304.373934860453,-0.3748965487402764,-0.0876810601840136,0.2872154885562628,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0000.xyz
1,3.4207704903828815,-1303.6364405698473,-0.18513312189669057,-0.08881434182846103,0.09631878006822954,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0001.xyz
2,3.318331414293352,-1305.2257151088722,-0.2535450859885338,-0.12385556629273844,0.12968951969579537,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0002.xyz
3,2.3926280503130535,-1306.67668925383,-0.37906006441143253,-0.03607985583743618,0.34298020857399636,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0003.xyz
4,2.8277626906278415,-1306.2722300169753,-0.36984632353389024,-0.08370189788481137,0.2861444256490789,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0004.xyz
5,4.700861694785696,-1304.6610834580092,-0.3573015238071196,-0.08824254400119853,0.2690589798059211,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0005.xyz
6,3.4597984065333263,-1296.8787656478985,-0.24571016320073166,-0.07727609229954877,0.1684340709011829,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0006.xyz
7,4.385543944574096,-1304.1601634143476,-0.27142014861754443,-0.156578369120812,0.11484177949673244,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0007.xyz
8,4.181793931978148,-1304.5535662406016,-0.28753024613603617,-0.02916463475987039,0.25836561137616576,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0008.xyz
9,3.8473921728322487,-1304.4021548060314,-0.31429605455006165,-0.125587672637112,0.18870838191294964,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0009.xyz
10,3.42144175157435,-1305.4900435245393,-0.3503045123003157,-0.09142284340609835,0.2588816688942173,False,water_sampling_results/xyz_samples_2026-04-30_19-45-38/sample_0010.xyz
