sample,zn_o_water_distance_A,total_energy_hartree,homo_hartree,lumo_hartree,gap_hartree,converged,xyz_file
0,4.9736676702046765,-529.8744664438134,-0.5088696769304436,0.032617519541047024,0.5414871964714907,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0000.xyz
1,4.812488462944026,-529.8938650930876,-0.5097436126042525,0.031543367122022534,0.541286979726275,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0001.xyz
2,4.662885300291583,-530.1229175013875,-0.5108016024285208,0.024645029693415248,0.535446632121936,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0002.xyz
3,2.2426329246373387,-531.7230859544808,-0.6704936848261901,0.03252686862423834,0.7030205534504285,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0003.xyz
4,4.114268239334732,-530.2554060787153,-0.5166733170536705,0.022349240046688562,0.5390225571003591,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0004.xyz
5,3.1731881425223123,-531.0304106659592,-0.563969356309459,0.031377117668523545,0.5953464739779826,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0005.xyz
6,3.179726654304348,-531.1319869956607,-0.5710562147080765,0.025846259835649674,0.5969024745437262,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0006.xyz
7,2.695809859176716,-531.1473778549039,-0.6180549364514761,0.034361926230214196,0.6524168626816903,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0007.xyz
8,4.09063224773132,-530.247556775694,-0.5170111413935499,0.02298068792900518,0.5399918293225551,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0008.xyz
9,4.717961098693419,-529.9039312201369,-0.5104049688993737,0.031245373319845223,0.5416503422192189,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0009.xyz
10,2.3027068838702567,-531.1438806216265,-0.6889039590777759,0.022666495459920676,0.7115704545376966,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0010.xyz
11,4.681663629054298,-530.1647247677753,-0.5109863350161953,0.024102262900761593,0.5350885979169568,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0011.xyz
12,3.5494011011031477,-530.7304789975885,-0.5343520639559239,0.027026835903356087,0.56137889985928,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0012.xyz
13,4.126709808812304,-530.5539491676464,-0.5225183512263154,0.022719485424397372,0.5452378366507128,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0013.xyz
14,2.0436355371591555,-533.0798124549495,-0.6665354841331388,0.03897939331412445,0.7055148774472633,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0014.xyz
15,4.980193840984944,-529.8625036868926,-0.5087936395325652,0.03622249907141335,0.5450161386039786,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0015.xyz
16,2.1721071201112614,-545.8562439896195,-0.5813393877918661,0.03838306668975916,0.6197224544816253,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0016.xyz
17,4.702656437612256,-530.1018254135431,-0.5110753114584567,0.02215375110976739,0.5332290625682241,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0017.xyz
18,3.3060973995728418,-530.7042936458655,-0.542128805668965,0.036474260508998685,0.5786030661779638,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0018.xyz
19,2.628933284685298,-531.3790175428408,-0.6459060475274525,0.02450006200593106,0.6704061095333835,True,water_sampling_results/xyz_samples_2026-04-30_23-26-21/sample_0019.xyz
