sample,zn_o_water_distance_A,total_energy_hartree,homo_hartree,lumo_hartree,gap_hartree,converged,xyz_file
0,2.632838893633444,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0000.xyz
1,2.6618431916145666,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0001.xyz
2,2.814113440631628,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0002.xyz
3,4.352198434399544,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0003.xyz
4,4.50950917268304,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0004.xyz
5,4.0000168031017385,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0005.xyz
6,4.27515036091787,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0006.xyz
7,4.683122256128112,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0007.xyz
8,2.408741912370645,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0008.xyz
9,4.913617771484015,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0009.xyz
10,3.516188625278413,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0010.xyz
11,2.9019335662599137,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0011.xyz
12,3.608087871356041,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0012.xyz
13,4.0809570917696165,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0013.xyz
14,3.7246018815934354,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0014.xyz
15,2.00979829464747,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0015.xyz
16,2.718415709226317,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0016.xyz
17,4.479858106323574,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0017.xyz
18,3.9802707409343405,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0018.xyz
19,3.558132051434883,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0019.xyz
20,4.018153831094806,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0020.xyz
21,4.330401081967034,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0021.xyz
22,3.0125566722755424,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0022.xyz
23,3.6603637799645066,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0023.xyz
24,2.8604888097679018,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0024.xyz
25,4.260082899655631,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0025.xyz
26,2.412751648063274,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0026.xyz
27,3.0466665717391743,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0027.xyz
28,2.399016653090049,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0028.xyz
29,3.8627426285660547,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0029.xyz
30,2.0518897997211796,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0030.xyz
31,2.7495355840818436,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0031.xyz
32,4.165240800739366,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0032.xyz
33,4.544026265276972,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0033.xyz
34,2.238436606540198,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0034.xyz
35,2.639608099289234,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0035.xyz
36,4.315940463931449,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0036.xyz
37,2.43736274823223,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0037.xyz
38,3.763489646658955,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0038.xyz
39,2.5291599257851964,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0039.xyz
40,4.30252694310755,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0040.xyz
41,3.555866121225066,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0041.xyz
42,3.030558720439778,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0042.xyz
43,2.170719627295956,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0043.xyz
44,4.796219417361548,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0044.xyz
45,4.842916162350616,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0045.xyz
46,4.190679092783001,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0046.xyz
47,4.3611294331297925,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0047.xyz
48,3.5235630235956528,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0048.xyz
49,4.577595552776792,,,,,False,water_sampling_results/xyz_samples_2026-04-30_19-43-01/sample_0049.xyz
